股票代號,股票名稱,本益比,殖利率(%),股價淨值比
"2402","毅嘉","18.48","3.07","1.75"
"2404","漢唐","16.57","4.60","6.79"
"2405","輔信","530.00","0.80","1.98"
"2406","國碩","","","1.30"
"2408","南亞科","","","0.58"
"2409","友達","","5.86","0.78"
"2412","中華電","26.49","3.82","2.58"
"2413","環科","","0.83","1.60"
"2414","精技","14.90","5.93","2.00"
"2415","錩新","22.67","","1.59"
"2417","圓剛","","0.31","2.24"
"2419","仲琦","","0.96","2.05"
"2420","新巨","15.35","4.78","2.55"
"2421","建準","20.44","3.62","3.55"
"2423","固緯","15.95","5.33","2.23"
"2424","隴華","","","11.81"
"2425","承啟","280.42","1.34","1.38"
"2426","鼎元","64.85","0.91","1.69"
"2427","三商電","20.33","3.25","1.76"
"2428","興勤","13.12","3.35","1.97"
"2429","銘旺科","","","3.01"
"2430","燦坤","19.27","7.22","0.81"
"2431","聯昌","","","1.10"
"2432","倚天酷碁-創","14.31","5.52","1.54"
"2433","互盛電","15.43","6.00","1.98"
"2434","統懋","46.38","","2.39"
"2436","偉詮電","46.28","2.16","2.92"
"2438","翔耀","","","4.04"
"2439","美律","13.82","3.88","1.56"
"2440","太空梭","","","1.40"
"2441","超豐","13.53","4.43","1.46"
"2442","新美齊","13.24","1.33","1.42"
"2444","兆勁","","","1.82"
"2449","京元電子","19.31","2.77","3.39"
"2450","神腦","17.85","6.19","1.33"
"2451","創見","16.18","5.53","2.01"
"2453","凌群","20.07","4.03","2.85"
"2454","聯發科","20.76","3.90","5.41"
"2455","全新","43.00","1.30","9.76"
"2457","飛宏","75.10","","1.64"
"2458","義隆","15.58","3.46","4.62"
"2459","敦吉","12.28","5.71","1.34"
"2460","建通","","","1.84"
"2461","光群雷","12.33","3.32","1.02"
"2462","良得電","21.46","4.36","1.28"
"2464","盟立","85.20","0.60","3.65"
"2465","麗臺","","","8.27"
"2466","冠西電","","","5.07"
"2467","志聖","50.36","1.41","6.56"
"2468","華經","29.67","2.93","1.56"
"2471","資通","20.22","6.09","3.03"
"2472","立隆電","12.49","3.47","1.71"
"2474","可成","14.44","5.39","0.75"
"2476","鉅祥","19.00","2.91","2.25"
"2477","美隆電","18.53","1.76","1.06"
"2478","大毅","19.42","3.18","1.01"
"2480","敦陽科","17.89","5.03","4.40"
"2481","強茂","22.31","2.39","1.39"
"2482","連宇","43.06","3.75","1.61"
"2483","百容","76.33","1.31","0.97"
"2484","希華","33.60","5.95","1.08"
"2485","兆赫","","","0.91"
"2486","一詮","367.86","0.63","4.64"
"2488","漢平","12.32","4.88","1.77"
"2489","瑞軒","12.35","3.08","0.96"
"2491","吉祥全","","","1.16"
"2492","華新科","24.09","2.31","0.92"
"2493","揚博","16.45","5.17","3.73"
"2495","普安","18.56","2.22","1.92"
"2496","卓越","12.46","5.64","1.84"
"2497","怡利電","24.67","1.66","3.07"
"2498","宏達電","","","1.66"
"2501","國建","11.78","4.20","1.00"
"2504","國產","12.20","4.20","2.27"
"2505","國揚","31.43","1.82","0.82"
