上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:113/12/23
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"4558","寶緯","206.47","0.00000000","112","0.00","1.94"
"4561","健椿","21.88","1.00000000","112","1.24","3.43"
"4563","百德","33.54","0.53400000","112","0.49","3.73"
"4568","科際精密","21.37","2.50000000","112","5.00","1.45"
"4577","達航科技","N/A","0.00000000","112","0.00","1.62"
"4580","捷流閥業","12.08","4.79830887","112","5.19","1.67"
"4584","君帆","16.71","2.00000000","112","3.17","1.90"
"4609","唐鋒","N/A","0.00000000","112","0.00","2.38"
"4702","中美實","28.30","0.00000000","112","0.00","0.78"
"4706","大恭","38.23","0.20000000","112","0.64","1.64"
"4707","磐亞","15.74","0.90000000","112","6.50","0.88"
"4711","永純","N/A","0.50000000","112","3.31","0.90"
"4714","永捷","80.00","0.00000000","112","0.00","1.36"
"4716","大立","20.09","0.00000000","112","0.00","1.63"
"4721","美琪瑪","24.46","1.10000000","112","1.57","4.12"
"4726","永昕","N/A","0.00000000","112","0.00","4.31"
"4728","雙美","21.59","11.00000000","112","3.97","11.04"
"4729","熒茂","1277.50","0.50000000","112","1.96","1.79"
"4735","豪展","69.56","1.00000000","112","2.52","1.60"
"4741","泓瀚","16.83","1.80000000","112","5.29","1.21"
"4743","合一","N/A","0.49967501","112","0.57","3.21"
"4744","皇將","96.19","0.10000000","112","0.50","0.97"
"4745","合富-KY","N/A","0.40000000","112","1.94","0.57"
"4747","強生","39.34","1.49839697","112","2.09","1.91"
"4754","國碳科","14.54","1.80000000","112","4.34","2.51"
"4760","勤凱","23.09","2.70000000","112","2.49","3.73"
"4767","誠泰科技","11.23","1.50000000","112","4.56","1.10"
"4768","晶呈科技","67.23","4.00000000","112","2.25","4.90"
"4772","台特化","72.31","1.00000000","112","0.57","8.33"
"4806","桂田文創","N/A","0.00000000","112","0.00","3.20"
"4903","聯光通","33.75","0.00000000","112","0.00","3.31"
"4905","台聯電","37.55","1.50000000","112","1.96","0.79"
"4907","富宇","8.47","1.30000000","112","1.94","3.17"
"4908","前鼎","40.76","2.40000000","112","2.36","4.90"
"4909","新復興","14.29","0.50000000","112","0.43","3.58"
"4911","德英","38.01","1.17068600","112","2.04","4.22"
"4923","力士","N/A","2.00000000","112","5.73","1.92"
"4924","欣厚-KY","N/A","0.00000000","112","0.00","1.76"
"4931","新盛力","23.80","0.80000000","112","1.28","3.65"
"4933","友輝","11.27","2.97709900","112","4.48","1.52"
"4939","亞電","64.06","0.50000000","112","2.44","1.30"
"4945","陞達科技","28.73","2.00000000","112","2.76","3.25"
"4946","辣椒","N/A","0.00000000","112","0.00","6.32"
"4950","牧東","N/A","0.00000000","112","0.00","3.36"
"4951","精拓科","16.22","2.50000000","112","3.76","2.64"
"4953","緯軟","15.15","4.95741414","112","4.15","2.31"
"4966","譜瑞-KY","24.94","12.76692735","112","1.63","2.88"
"4971","IET-KY","N/A","0.00000000","112","0.00","2.15"
"4972","湯石照明","33.03","0.70000000","112","2.99","0.83"
"4973","廣穎","10.48","2.00000000","112","6.54","0.90"
"4974","亞泰","17.69","4.20000000","112","3.84","2.48"
"4979","華星光","45.41","1.43000433","112","0.83","7.68"
"4987","科誠","13.84","3.50000000","112","4.26","2.27"
"4991","環宇-KY","N/A","0.00000000","112","0.00","5.14"
"4995","晶達","14.31","3.19969628","112","4.77","2.93"
"5009","榮剛","9.30","2.50000000","112","5.51","1.45"
"5011","久陽","13.44","1.00000000","112","5.06","0.87"
"5013","強新","19.02","0.90000000","112","2.80","1.16"
"5014","建錩","36.89","1.00000000","112","7.33","0.81"
"5015","華祺","83.26","3.00000000","112","8.38","1.66"
"5016","松和","17.19","0.70000000","112","2.55","0.93"
"5201","凱衛","26.45","1.50000000","112","5.30","2.15"
"5202","力新","6.48","0.70000000","112","2.85","1.70"
"5205","中茂","N/A","0.00000000","112","0.00","6.60"
"5206","坤悅","10.85","1.30000000","112","3.18","1.98"
"5209","新鼎","12.59","10.51163408","112","5.99","5.33"
"5210","寶碩","N/A","0.00000000","112","0.00","3.30"
"5211","蒙恬","N/A","0.00000000","112","0.00","2.19"
"5212","凌網","14.58","3.00000000","112","5.12","3.91"
"5213","亞昕","35.00","0.50548665","112","1.62","1.54"
"5220","萬達光電","56.76","0.90000000","112","4.29","1.06"
"5223","安力-KY","N/A","0.00000000","112","0.00","0.74"
"5227","立凱-KY","N/A","0.00000000","112","0.00","4.92"
"5228","鈺鎧","N/A","0.00000000","112","0.00","1.41"
"5230","雷笛克光學","37.24","0.51682237","112","1.83","1.13"
"5236","凌陽創新","18.21","7.00000000","112","4.62","3.57"
"5245","智晶","N/A","0.00000000","112","0.00","1.59"
"5251","天鉞電","N/A","0.00000000","112","0.00","2.13"
"5263","智崴","N/A","0.50000000","112","0.34","2.66"
"5272","笙科","N/A","0.00000000","112","0.00","1.53"
"5274","信驊","71.61","20.00000000","112","0.54","29.40"
"5276","達輝-KY","93.10","0.60000000","112","3.07","1.53"
"5278","尚凡*","49.27","12.77456623","112","3.45","20.41"
"5287","數字","15.33","10.73850488","112","5.79","5.25"
"5289","宜鼎","17.86","10.40000000","112","4.85","2.72"
"5291","邑昇","122.37","0.80000000","112","3.44","1.00"
"5299","杰力","18.15","4.11000000","112","4.66","1.41"
"5301","寶得利","N/A","0.00000000","112","0.00","2.21"
"5302","太欣","N/A","0.00000000","112","0.00","1.23"
"5309","系統電","54.21","0.69998896","112","1.70","2.63"
"5310","天剛","15.63","0.00000000","112","0.00","5.37"
"5312","寶島科","13.19","6.00000000","112","5.48","1.99"
"5314","世紀","51.84","1.80000000","112","0.34","24.60"
"5315","光聯","27.67","0.80000000","112","3.86","1.33"
"5321","美而快","N/A","1.00000000","112","1.70","3.96"
"5324","士開","145.00","0.00000000","112","0.00","2.11"
"5328","華容","126.07","0.35000000","112","1.98","1.56"
"5340","建榮","72.55","0.00000000","112","0.00","3.81"
"5344","立衛","26.86","0.00000000","112","0.00","2.83"
"5345","天揚","N/A","0.00000000","112","0.00","4.28"
"5347","世界","20.67","4.50000000","112","4.70","3.56"
"5348","正能量智能","N/A","0.00000000","112","0.00","2.20"
"5351","鈺創","N/A","0.00000000","112","0.00","2.58"
"5353","台林","19.05","1.42000000","112","4.03","1.96"
"5355","佳總","N/A","0.00000000","112","0.00","1.71"
"5356","協益","4.44","2.30000000","112","7.49","0.68"
"5364","力麗店","N/A","0.00000000","112","0.00","2.57"
"5371","中光電","36.65","3.00000000","112","3.61","1.33"
"5381","合正","62.57","0.00000000","112","0.00","3.73"
"5386","青雲","33.29","1.30000000","112","1.59","4.60"
"5392","能率","585.00","0.30000000","112","0.85","1.02"
"5398","慕康生醫","N/A","0.00000000","112","0.00","1.88"
"5403","中菲","16.67","6.00078664","112","5.09","3.73"
"5410","國眾","18.41","2.06146392","112","6.47","2.09"
"5425","台半","35.10","2.00000000","112","3.68","1.75"
"5426","振發","70.23","0.00000000","112","0.00","2.02"
"5432","新門","125.20","1.00000000","112","0.64","8.38"
"5438","東友","118.70","0.50000000","112","1.83","1.08"
"5439","高技","38.54","4.10000000","112","3.29","4.91"
"5443","均豪","53.59","1.20000000","112","1.00","2.72"
"5450","南良","24.00","0.24997755","112","1.39","1.25"
"5452","佶優","123.27","0.15000000","112","0.47","2.22"
"5455","昇益","10.90","0.00000000","112","0.00","4.11"
"5457","宣德","32.17","0.31944492","112","0.54","2.18"
"5460","同協","N/A","0.00000000","112","0.00","1.21"
"5464","霖宏","N/A","0.80000000","112","3.27","1.28"
"5465","富驊","21.94","1.50000000","112","3.95","2.33"
"5468","凱鈺","N/A","0.00000000","112","0.00","2.64"
"5474","聰泰","30.06","3.50000000","112","1.84","4.05"
"5475","德宏","N/A","0.00000000","112","0.00","1.92"
"5478","智冠","17.64","9.00000000","112","7.11","1.97"
"5481","新華","N/A","0.00000000","112","0.00","1.67"
"5483","中美晶","11.28","8.80000000","112","6.42","1.66"
"5487","通泰","N/A","0.00000000","112","0.00","1.64"
"5488","松普","N/A","0.00000000","112","0.00","1.21"
"5489","彩富","49.81","1.02028666","112","2.56","1.78"
"5490","同亨","N/A","0.00000000","112","0.00","1.88"
"5493","三聯","13.68","3.10000000","112","3.93","1.85"
"5498","凱崴","N/A","0.00000000","112","0.00","1.07"
"5508","永信建","7.03","11.29120000","112","8.07","3.87"
"5511","德昌","8.25","5.00000000","112","7.96","1.21"
"5512","力麒","82.42","0.54000000","112","5.46","0.55"
"5514","三豐","98.75","0.50000000","112","2.53","1.44"
"5516","雙喜","N/A","0.50000000","112","2.75","1.76"
"5520","力泰","9.45","4.60000000","112","5.59","1.92"
"5523","豐謙","18.81","1.50000000","112","5.42","1.42"
"5529","鉅陞","N/A","0.00000000","112","0.00","2.58"
"5530","龍巖","19.86","0.00000000","112","0.00","0.92"
"5536","聖暉*","20.55","10.50000000","112","2.86","4.29"
"5543","桓鼎-KY","N/A","0.37607917","112","1.64","1.54"
"5548","安倉","13.43","1.50000000","112","5.47","1.69"
"5601","台聯櫃","88.25","0.38500000","112","1.09","1.66"
